Tweet No,Tweet Text,Match,Polarity

1,this shows the reality to how strict the fda is on vaccine safety,strict,negative
2,jeffrey dirr 57 of lawrenceburg indiana died of covid on march 13 2021 my dad was someoneyou could talk to who was always there to lend an ear to listen or give you advice he loved his family and his life more than anything and will be deeply missed,"loved,died,missed",negative
3,today fda and  issued a statement regarding the johnson amp johnson covid19 vaccine we are recommending a pause in the use of this vaccine out of an abundance of caution,abundance,positive
4,i think we can add this one to the list of conspiracy facts,conspiracy,negative
5,the blood clot discourse about the jampj vaccine compared to birth control really emphasizes how people do not care about a  side effect to life saving medicine unless it effects men,No Match,neutral
6,oh you mean there might be unknown side effects of a vaccine created really fast without years of tracking trials and results i am so surprised,"fast,unknown",neutral
7,everyone can now get a free rapid covid19 testthey show results in 30 minutes they also show youre doing all you can to protect those around you,"free,rapid,protect",positive
8,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
9,ontario residents is the vaccine availableontario government,No Match,neutral
10,another massive roadshow by amit shah without a maskthis isnt negligence it is a deliberate disregard for covid appreciate behavior this is how top ministers in the modi govt conduct themselveswill the media who went ballistic over tablighi jamaat call out amit shah,"appreciate,top,negligence,disregard",neutral
11,sen maize hirono dhi said that not a single republican in the senate signed on to her antiasian american hate crimes bill via,hate,negative
12,my name is hamilton and im here to say the vaccine wont turn you gay thats not how it works and thats a fact you should get your vaccine like you get a snack im from history where wed all die from disease but not you thats right you can get a vaccine,"works,like,right,die",positive
13,the  gt2040 report calls covid19 the most significant singular global disruption since world war ii as vaccinations ramp up amp  we start to approach a postcovid world lets take a look back about what our experts forecast for life after the pandemic 1n,"significant,disruption",neutral
14,exactly like theres millions of people who are already vaccinated and are completely fine  like fr just get the vaccine and wear a mask so more people dont have to die or have to continue to live in fear of the virus killing themsomeone they love,"like,fine,love,die,fear,virus,killing",neutral
15,the office of unemployment compensation ouc holds biweekly webinars every tuesday and thursday at 12 pm to provide claimants with the most up to date unemployment insurance related information to register please visit the link below,No Match,neutral
16,covid 19 cases in india is rising due to  holi festival,No Match,neutral
17,sacramento county clinics switching appointments from johnson amp johnson vaccine after cdc guidance,guidance,positive
18,it can boost the immune systemcan reduce high blood pressureprspaighameramzan,boost,positive
19,biharfightscorona update of the day  4157 more covid19 ve cases have been reported so far on 12th april taking total count of active cases in bihar to 20148the break up is as followsbiharhealthdept covid19,break,negative
20,new covid19 data at 20210413 110000 am edt coronavirus covid19 covid19,No Match,neutral
21,selena will be hosting vaxlive the concert to reunite the world she is joining  and others in calling for equitable covid19 vaccine distribution for all make sure to tune in saturday may 8,equitable,positive
22,000008823529 have suffered rare blood clots from the johnson amp johnson vaccineso the fda and cdc are urgently putting a pause on itthe chances of your kid being shot at school today are about 10000 times higherthere will be no such urgency addressing that,suffered,negative
23,you really need to listen to your body on this one,No Match,neutral
24,the eu is the big fish welcome to brexit in time of emergency the eu can do whatever it wants az has already been blocking if you keep moaning the eu will stop sending pfizer as well,"welcome,well,emergency",positive
25,this is a recommendation and not a mandate out of an abundance of cautionon individual basis provider and patient can make decision whether or not to take vaccine  johnsonandjohnson,"recommendation,abundance,patient",positive
26,98 survival rate  600k dead  im not scared of covid 6 people out of 700000 have blood clots but all fine and alive  told you vaccine wasnt safe,"survival,fine,safe,dead,scared",positive
27,the indiana department of health is notifying all vaccination clinics to pause using the johnson amp johnson vaccine following news reports that the fda has called for additional review of its safety the state has not received official notification from the fda,No Match,neutral
28,people at  can opt out of the covid19 vaccine requirement for religious medical or personal concerns but students who dont comply or submit exemption documentation by sept 1 wont be able to live on campus or access campus facilities,concerns,negative
