Term,cold

Cold appeared in 318 documents,Total Words (m),Frequency (f)

Document #63,28,1
Document #100,33,1
Document #101,29,1
Document #113,38,1
Document #148,48,1
Document #187,18,1
Document #201,28,1
Document #202,13,1
Document #205,20,1
Document #259,12,1
Document #266,48,1
Document #286,27,1
Document #331,16,1
Document #332,47,1
Document #392,43,1
Document #402,20,1
Document #419,48,3
Document #442,8,1
Document #458,5,1
Document #469,16,1
Document #495,14,1
Document #511,15,1
Document #553,4,1
Document #569,18,1
Document #626,48,1
Document #689,41,1
Document #694,34,1
Document #696,8,1
Document #704,43,1
Document #753,19,1
Document #762,7,1
Document #771,43,1
Document #775,36,1
Document #787,26,1
Document #802,40,1
Document #822,33,1
Document #834,44,1
Document #860,18,2
Document #867,50,1
Document #875,36,1
Document #898,38,1
Document #941,42,1
Document #949,21,1
Document #952,9,1
Document #978,42,1
Document #988,45,1
Document #1005,6,1
Document #1014,20,1
Document #1021,3,1
Document #1032,36,1
Document #1036,5,1
Document #1050,41,1
Document #1082,20,1
Document #1093,2,1
Document #1100,27,1
Document #1118,7,1
Document #1133,28,1
Document #1155,50,1
Document #1157,5,1
Document #1159,16,1
Document #1170,11,1
Document #1199,13,1
Document #1203,35,1
Document #1224,55,1
Document #1237,19,1
Document #1245,28,1
Document #1271,4,1
Document #1274,8,1
Document #1275,4,1
Document #1280,39,1
Document #1287,38,1
Document #1378,36,1
Document #1388,12,1
Document #1391,26,1
Document #1400,35,1
Document #1413,43,1
Document #1430,43,1
Document #1436,27,1
Document #1437,11,1
Document #1451,53,1
Document #1463,29,1
Document #1465,48,1
Document #1484,32,1
Document #1493,17,1
Document #1498,40,1
Document #1527,29,1
Document #1542,48,3
Document #1575,11,1
Document #1576,4,1
Document #1589,8,1
Document #1598,43,1
Document #1609,24,1
Document #1613,43,1
Document #1614,8,1
Document #1623,4,1
Document #1624,21,1
Document #1638,16,1
Document #1642,44,2
Document #1665,10,1
Document #1670,14,1
Document #1712,15,1
Document #1716,18,1
Document #1720,15,1
Document #1732,3,1
Document #1753,43,1
Document #1768,30,1
Document #1782,36,1
Document #1794,32,1
Document #1796,23,1
Document #1805,15,1
Document #1814,28,1
Document #1821,27,1
Document #1825,18,1
Document #1828,22,1
Document #1893,15,1
Document #1962,17,1
Document #2031,7,1
Document #2037,5,1
Document #2040,30,2
Document #2090,15,1
Document #2101,14,1
Document #2105,48,1
Document #2126,11,1
Document #2127,43,1
Document #2172,24,1
Document #2173,44,2
Document #2214,36,1
Document #2241,48,3
Document #2254,48,3
Document #2280,21,1
Document #2284,13,1
Document #2349,53,1
Document #2368,9,1
Document #2404,5,1
Document #2457,18,1
Document #2464,48,1
Document #2512,32,1
Document #2514,40,1
Document #2526,51,1
Document #2533,6,1
Document #2548,26,1
Document #2570,11,1
Document #2578,11,1
Document #2591,28,1
Document #2594,17,2
Document #2613,5,1
Document #2654,11,1
Document #2667,33,1
Document #2669,31,1
Document #2705,26,1
Document #2707,39,1
Document #2722,13,1
Document #2747,5,1
Document #2759,52,1
Document #2772,20,1
Document #2788,9,1
Document #2810,18,1
Document #2814,5,1
Document #2824,13,1
Document #2850,6,1
Document #2891,54,1
Document #2892,17,1
Document #2916,19,1
Document #2925,13,1
Document #2945,36,1
Document #2947,27,1
Document #2964,44,1
Document #2969,11,1
Document #2980,33,1
Document #2991,48,1
Document #2998,11,1
Document #3001,11,1
Document #3003,25,1
Document #3016,30,1
Document #3050,16,1
Document #3145,15,1
Document #3150,11,1
Document #3164,29,1
Document #3217,42,2
Document #3276,22,1
Document #3327,18,1
Document #3338,4,1
Document #3356,4,1
Document #3365,28,1
Document #3370,11,1
Document #3376,36,2
Document #3388,43,1
Document #3393,49,1
Document #3396,16,1
Document #3400,47,1
Document #3429,5,1
Document #3450,21,1
Document #3455,28,1
Document #3466,20,1
Document #3490,28,1
Document #3514,24,1
Document #3520,11,1
Document #3535,11,1
Document #3539,27,1
Document #3555,48,3
Document #3602,22,1
Document #3629,43,1
Document #3642,17,1
Document #3650,51,1
Document #3654,25,1
Document #3668,5,1
Document #3680,43,1
Document #3682,38,1
Document #3684,6,1
Document #3700,35,1
Document #3711,11,1
Document #3737,43,1
Document #3743,35,1
Document #3846,22,1
Document #3854,44,1
Document #3865,5,1
Document #3871,48,1
Document #3874,7,1
Document #3875,5,1
Document #3880,43,1
Document #3902,11,1
Document #3932,25,1
Document #3948,5,1
Document #3965,16,1
Document #3972,15,1
Document #3994,5,1
Document #3999,23,1
Document #4003,48,3
Document #4021,21,1
Document #4044,28,1
Document #4055,28,1
Document #4061,42,1
Document #4077,43,1
Document #4081,47,1
Document #4115,56,1
Document #4118,20,1
Document #4125,55,1
Document #4129,33,1
Document #4144,22,1
Document #4179,25,1
Document #4194,7,1
Document #4197,46,1
Document #4207,16,1
Document #4209,11,1
Document #4231,41,1
Document #4256,24,1
Document #4272,38,1
Document #4305,35,2
Document #4339,27,1
Document #4374,28,1
Document #4377,30,1
Document #4385,20,1
Document #4390,36,1
Document #4393,5,1
Document #4394,3,1
Document #4415,43,1
Document #4458,45,2
Document #4464,35,1
Document #4483,12,1
Document #4523,16,1
Document #4525,14,1
Document #4526,13,1
Document #4533,9,1
Document #4538,34,1
Document #4548,30,1
Document #4570,3,1
Document #4580,20,1
Document #4585,14,1
Document #4590,44,1
Document #4592,21,1
Document #4606,28,1
Document #4639,45,1
Document #4666,4,1
Document #4710,9,1
Document #4734,45,2
Document #4775,5,1
Document #4802,5,1
Document #4803,22,1
Document #4813,42,2
Document #4821,42,1
Document #4826,9,1
Document #4831,18,1
Document #4846,11,1
Document #4864,34,1
Document #4884,45,2
Document #4936,9,1
Document #4945,7,1
Document #4950,11,1
Document #4964,43,1
Document #4967,46,1
Document #4969,28,1
Document #4981,49,1
Document #4984,20,1
Document #5028,6,1
Document #5033,46,2
Document #5034,39,1
Document #5051,50,1
Document #5053,47,1
Document #5063,50,1
Document #5099,52,2
Document #5104,21,1
Document #5111,8,1
Document #5136,4,1
Document #5154,4,1
Document #5196,39,1
Document #5217,43,1
Document #5218,43,1
Document #5219,31,1
Document #5222,19,1
Document #5234,17,1
Document #5249,30,1
Document #5264,16,2
Document #5270,33,1
Document #5276,30,1
Document #5281,11,1
Document #5333,51,1
Document #5361,27,1
Document #5366,25,1
Document #5433,50,1
Document #5446,7,1
Document #5459,44,2
Document #5478,16,1
Document #5484,53,1
